trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled,timepoint,arrival_seconds,departure_seconds,route_id_x,service_id_x,trip_headsign_x,trip_short_name_x,direction_id_x,shape_id_x,route_id_y,service_id_y,trip_headsign_y,trip_short_name_y,direction_id_y,shape_id_y,travel_time_seconds
01a295ba-67a9-4490-9e6b-25e8d637fb1c,25,3069O00057C2,00:14:35,00:14:35,,6580.5,0,875,875,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,28.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,26,3069O00058C2,00:15:22,00:15:22,,6932.87,0,922,922,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,47.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,27,3069O00003C2,00:16:12,00:16:12,,7315.47,0,972,972,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,50.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,28,3070O00001C2,00:16:51,00:16:51,,7604.05,0,1011,1011,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,39.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,29,3071O00033C2,00:17:28,00:17:28,,7885.93,0,1048,1048,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,37.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,30,3071O00004C2,00:17:54,00:17:54,,8078.1,0,1074,1074,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,26.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,31,3071O00005C2,00:18:33,00:18:33,,8368.81,0,1113,1113,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,39.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,32,3071O00006C2,00:19:33,00:19:33,,8824.61,0,1173,1173,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,60.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,33,3066O00003C2,00:20:05,00:20:05,,9065.81,0,1205,1205,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,32.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,34,3064O00002C0,00:20:57,00:20:57,,9454.08,0,1257,1257,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,52.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,35,3065O00001C0,00:21:31,00:21:31,,9710.76,0,1291,1291,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,34.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,36,3065O00003C0,00:22:15,00:22:15,,10039.71,0,1335,1335,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,44.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,37,3065O00004C0,00:22:45,00:22:45,,10269.72,0,1365,1365,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,30.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,38,3065O00005C0,00:23:18,00:23:18,,10517.6,0,1398,1398,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,33.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,39,3053O00006C0,00:23:59,00:23:59,,10826.57,0,1439,1439,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,41.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,40,3053O00007C0,00:24:41,00:24:41,,11137.93,0,1481,1481,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,42.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,41,3053O00008C0,00:26:21,00:26:21,,11891.45,0,1581,1581,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,100.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,42,3052O00001C0,00:26:51,00:26:51,,12116.45,0,1611,1611,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,30.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,43,3052O00002C1,00:27:21,00:27:21,,12343.08,0,1641,1641,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,30.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,44,3052O00003C0,00:28:12,00:28:12,,12729.23,0,1692,1692,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,51.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,45,3155O00001C0,00:29:20,00:29:20,,13239.32,0,1760,1760,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,68.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,46,3155O00002C0,00:30:09,00:30:09,,13605.44,0,1809,1809,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,49.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,47,3155O00003C0,00:30:45,00:30:45,,13877.06,0,1845,1845,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,36.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,48,1012O00011C0,00:32:39,00:32:39,,14730.18,0,1959,1959,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,114.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,49,1012O00012C0,00:33:07,00:33:07,,14944.58,0,1987,1987,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,28.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,50,1012O00013C0,00:33:31,00:33:31,,15121.57,0,2011,2011,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,24.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,51,1012O00027C0,00:34:42,00:34:42,,15661.5,0,2082,2082,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,71.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,52,vphs,00:35:49,00:35:49,,16160.28,0,2149,2149,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,67.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,53,1011O00001C0,00:36:46,00:36:46,,16588.84,0,2206,2206,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,57.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,54,3057O00006C0,00:37:55,00:37:55,,17106.56,0,2275,2275,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,69.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,56,1011O00002C0,00:38:42,00:38:42,,17465.26,0,2322,2322,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,47.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,57,2035O00042C0,00:39:12,00:39:12,,17689.45,0,2352,2352,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,30.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,58,1010O00038C0,00:40:07,00:40:07,,18098.13,0,2407,2407,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,55.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,59,1010O00077C0,00:41:23,00:41:23,,18672.56,0,2483,2483,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,76.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,60,1010O00103C0,00:42:10,00:42:10,,19025.54,0,2530,2530,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,47.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,61,1010O00040C0,00:43:04,00:43:04,,19433.83,0,2584,2584,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,54.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,62,1010O00107C0,00:43:47,00:43:47,,19757.37,0,2627,2627,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,43.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,63,1010O00079C0,00:44:30,00:44:30,,20076.65,0,2670,2670,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,43.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,64,1010O00080C0,00:44:54,00:44:54,,20259.97,0,2694,2694,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,24.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,65,1010O00081C0,00:45:46,00:45:46,,20650.87,0,2746,2746,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,52.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,66,2032O00028C0,00:47:26,00:47:26,,21404.06,0,2846,2846,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,100.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,67,1008O00022S0,00:48:55,00:48:55,,22072.28,0,2935,2935,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,89.0
01a295ba-67a9-4490-9e6b-25e8d637fb1c,68,1008O00005S0,00:50:01,00:50:01,,22567.11,0,3001,3001,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,O0371AAA0A,S_REG,Praça da República,371,0,n2a4,66.0
