PRECIPITACAO TOTAL. HORARIO(mm),RADIACAO GLOBAL(Kj/m²),TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C),TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C),VENTO. DIRECAO HORARIA (gr)(° (gr)),VENTO. RAJADA MAXIMA(m/s),VENTO. VELOCIDADE HORARIA(m/s),estacao,latitude,longitude,datetime
0.0,-3.5,29.2,29.0,250.0,5.0,3.9,marambaia,-23.05027777,-43.59555555,2019-01-25 00:00:00
0.0,-1.9,29.2,27.1,246.0,14.7,10.6,marambaia,-23.05027777,-43.59555555,2019-01-25 01:00:00
0.0,-3.2,27.4,26.4,56.0,13.0,1.9,marambaia,-23.05027777,-43.59555555,2019-01-25 02:00:00
0.0,-3.5,26.4,26.0,337.0,3.9,1.9,marambaia,-23.05027777,-43.59555555,2019-01-25 03:00:00
0.0,-3.5,27.2,25.9,245.0,4.5,2.9,marambaia,-23.05027777,-43.59555555,2019-01-25 04:00:00
0.0,-3.0,27.5,26.5,357.0,4.8,0.7,marambaia,-23.05027777,-43.59555555,2019-01-25 05:00:00
0.0,-3.5,27.6,25.5,352.0,3.5,1.4,marambaia,-23.05027777,-43.59555555,2019-01-25 06:00:00
0.0,-3.5,25.4,25.2,32.0,3.1,2.2,marambaia,-23.05027777,-43.59555555,2019-01-25 07:00:00
0.0,-3.1,25.4,25.1,33.0,3.1,2.1,marambaia,-23.05027777,-43.59555555,2019-01-25 08:00:00
0.0,16.1,25.9,25.3,159.0,2.6,0.5,marambaia,-23.05027777,-43.59555555,2019-01-25 09:00:00
0.0,216.1,27.7,25.8,181.0,5.0,3.5,marambaia,-23.05027777,-43.59555555,2019-01-25 10:00:00
0.0,592.5,28.4,27.6,174.0,4.6,1.8,marambaia,-23.05027777,-43.59555555,2019-01-25 11:00:00
0.0,1835.9,29.9,28.2,201.0,3.3,1.4,marambaia,-23.05027777,-43.59555555,2019-01-25 12:00:00
0.0,1679.4,29.7,28.7,213.0,4.3,2.8,marambaia,-23.05027777,-43.59555555,2019-01-25 13:00:00
0.0,1487.9,30.3,28.5,192.0,5.0,2.8,marambaia,-23.05027777,-43.59555555,2019-01-25 14:00:00
0.0,1214.7,29.3,28.5,188.0,5.5,3.3,marambaia,-23.05027777,-43.59555555,2019-01-25 15:00:00
0.0,1534.6,29.5,27.8,144.0,9.3,7.1,marambaia,-23.05027777,-43.59555555,2019-01-25 16:00:00
0.0,2966.4,29.6,28.4,141.0,10.1,7.3,marambaia,-23.05027777,-43.59555555,2019-01-25 17:00:00
0.0,2476.2,29.8,28.6,139.0,9.3,7.3,marambaia,-23.05027777,-43.59555555,2019-01-25 18:00:00
0.0,1617.2,29.8,28.1,124.0,10.9,6.8,marambaia,-23.05027777,-43.59555555,2019-01-25 19:00:00
0.0,211.6,28.1,22.8,354.0,16.7,9.7,marambaia,-23.05027777,-43.59555555,2019-01-25 20:00:00
29.8,7.4,22.8,19.5,38.0,20.1,1.4,marambaia,-23.05027777,-43.59555555,2019-01-25 21:00:00
4.4,-0.7,20.2,19.7,71.0,4.1,1.1,marambaia,-23.05027777,-43.59555555,2019-01-25 22:00:00
5.8,-1.6,20.5,20.1,11.0,6.1,3.8,marambaia,-23.05027777,-43.59555555,2019-01-25 23:00:00
1.4,-1.9,20.8,20.5,11.0,6.1,2.4,marambaia,-23.05027777,-43.59555555,2019-01-26 00:00:00
0.2,-2.1,21.3,20.8,345.0,5.7,3.2,marambaia,-23.05027777,-43.59555555,2019-01-26 01:00:00
0.0,-2.6,21.4,21.1,292.0,5.1,1.6,marambaia,-23.05027777,-43.59555555,2019-01-26 02:00:00
0.0,-1.7,22.0,21.1,342.0,4.3,2.9,marambaia,-23.05027777,-43.59555555,2019-01-26 03:00:00
0.0,-0.8,22.1,21.4,346.0,4.3,2.0,marambaia,-23.05027777,-43.59555555,2019-01-26 04:00:00
0.0,-2.1,21.5,21.0,25.0,4.5,3.1,marambaia,-23.05027777,-43.59555555,2019-01-26 05:00:00
0.0,-1.7,21.1,20.8,6.0,4.9,2.8,marambaia,-23.05027777,-43.59555555,2019-01-26 06:00:00
0.0,-2.2,21.6,21.1,23.0,4.9,2.8,marambaia,-23.05027777,-43.59555555,2019-01-26 07:00:00
0.0,-1.7,21.5,21.3,37.0,4.5,2.5,marambaia,-23.05027777,-43.59555555,2019-01-26 08:00:00
0.0,20.8,21.8,21.4,55.0,3.2,2.4,marambaia,-23.05027777,-43.59555555,2019-01-26 09:00:00
0.0,305.6,23.0,21.8,45.0,3.8,2.5,marambaia,-23.05027777,-43.59555555,2019-01-26 10:00:00
0.0,803.6,25.3,23.0,27.0,4.0,2.3,marambaia,-23.05027777,-43.59555555,2019-01-26 11:00:00
0.0,1387.9,26.5,25.4,353.0,5.7,2.0,marambaia,-23.05027777,-43.59555555,2019-01-26 12:00:00
0.0,2764.0,29.5,26.3,331.0,4.6,1.9,marambaia,-23.05027777,-43.59555555,2019-01-26 13:00:00
0.0,2755.0,29.4,28.0,145.0,5.7,5.0,marambaia,-23.05027777,-43.59555555,2019-01-26 14:00:00
0.0,2529.7,30.3,28.0,130.0,6.7,4.1,marambaia,-23.05027777,-43.59555555,2019-01-26 15:00:00
0.0,3702.8,30.6,29.4,136.0,8.6,6.8,marambaia,-23.05027777,-43.59555555,2019-01-26 16:00:00
0.0,3459.0,30.7,29.6,125.0,9.3,6.9,marambaia,-23.05027777,-43.59555555,2019-01-26 17:00:00
0.0,3012.0,30.8,29.4,125.0,9.5,7.2,marambaia,-23.05027777,-43.59555555,2019-01-26 18:00:00
0.0,2367.0,30.4,29.3,103.0,11.1,6.5,marambaia,-23.05027777,-43.59555555,2019-01-26 19:00:00
0.0,1540.8,30.0,29.1,106.0,13.5,7.2,marambaia,-23.05027777,-43.59555555,2019-01-26 20:00:00
0.0,603.1,29.3,28.4,108.0,13.5,6.7,marambaia,-23.05027777,-43.59555555,2019-01-26 21:00:00
0.0,36.1,28.4,27.7,55.0,10.6,3.2,marambaia,-23.05027777,-43.59555555,2019-01-26 22:00:00
0.0,-3.5,28.2,27.6,80.0,7.6,2.8,marambaia,-23.05027777,-43.59555555,2019-01-26 23:00:00
0.0,-3.5,27.7,26.5,338.0,6.8,1.1,marambaia,-23.05027777,-43.59555555,2019-01-27 00:00:00
0.0,-3.5,26.9,25.5,2.0,3.2,1.8,marambaia,-23.05027777,-43.59555555,2019-01-27 01:00:00
0.0,-3.5,26.3,24.4,347.0,2.8,1.6,marambaia,-23.05027777,-43.59555555,2019-01-27 02:00:00
0.0,-3.5,24.6,23.9,356.0,3.8,2.1,marambaia,-23.05027777,-43.59555555,2019-01-27 03:00:00
0.0,-3.5,24.7,23.7,4.0,2.7,1.6,marambaia,-23.05027777,-43.59555555,2019-01-27 04:00:00
0.0,-3.5,23.7,23.4,12.0,3.4,2.3,marambaia,-23.05027777,-43.59555555,2019-01-27 05:00:00
0.0,-3.5,23.8,23.3,34.0,3.4,2.1,marambaia,-23.05027777,-43.59555555,2019-01-27 06:00:00
0.0,-3.5,24.0,23.4,41.0,3.2,2.3,marambaia,-23.05027777,-43.59555555,2019-01-27 07:00:00
0.0,-3.5,23.6,22.8,17.0,3.5,2.3,marambaia,-23.05027777,-43.59555555,2019-01-27 08:00:00
0.0,27.6,22.8,22.4,5.0,3.0,2.2,marambaia,-23.05027777,-43.59555555,2019-01-27 09:00:00
0.0,573.9,25.8,22.8,356.0,3.9,2.4,marambaia,-23.05027777,-43.59555555,2019-01-27 10:00:00
0.0,1414.8,27.9,25.8,342.0,7.2,4.2,marambaia,-23.05027777,-43.59555555,2019-01-27 11:00:00
0.0,2228.2,30.4,27.8,5.0,8.2,3.9,marambaia,-23.05027777,-43.59555555,2019-01-27 12:00:00
0.0,2895.8,32.3,30.0,16.0,6.5,3.7,marambaia,-23.05027777,-43.59555555,2019-01-27 13:00:00
0.0,3423.3,33.3,30.1,145.0,6.5,4.0,marambaia,-23.05027777,-43.59555555,2019-01-27 14:00:00
0.0,3713.8,31.3,29.4,143.0,8.8,6.7,marambaia,-23.05027777,-43.59555555,2019-01-27 15:00:00
0.0,3574.5,31.9,30.0,128.0,8.4,4.8,marambaia,-23.05027777,-43.59555555,2019-01-27 16:00:00
0.0,3379.5,33.3,31.3,108.0,8.5,4.8,marambaia,-23.05027777,-43.59555555,2019-01-27 17:00:00
0.0,3052.7,33.4,32.3,91.0,10.3,6.1,marambaia,-23.05027777,-43.59555555,2019-01-27 18:00:00
0.0,2377.0,32.9,31.5,93.0,10.7,5.2,marambaia,-23.05027777,-43.59555555,2019-01-27 19:00:00
0.0,1587.9,31.7,30.4,105.0,9.9,6.0,marambaia,-23.05027777,-43.59555555,2019-01-27 20:00:00
0.0,747.2,30.5,29.3,85.0,9.1,4.1,marambaia,-23.05027777,-43.59555555,2019-01-27 21:00:00
0.0,100.1,29.3,28.3,53.0,8.7,3.8,marambaia,-23.05027777,-43.59555555,2019-01-27 22:00:00
0.0,-3.5,28.9,28.3,73.0,8.1,3.6,marambaia,-23.05027777,-43.59555555,2019-01-27 23:00:00
0.0,-3.5,29.1,27.7,13.0,5.8,2.3,marambaia,-23.05027777,-43.59555555,2019-01-28 00:00:00
0.0,-3.5,28.7,27.5,223.0,3.6,1.0,marambaia,-23.05027777,-43.59555555,2019-01-28 01:00:00
0.0,-3.5,27.6,26.9,265.0,2.4,1.5,marambaia,-23.05027777,-43.59555555,2019-01-28 02:00:00
0.0,-3.5,26.9,26.0,304.0,2.2,0.7,marambaia,-23.05027777,-43.59555555,2019-01-28 03:00:00
0.0,-3.5,26.1,25.1,23.0,2.0,0.7,marambaia,-23.05027777,-43.59555555,2019-01-28 04:00:00
0.0,-3.5,26.6,24.9,40.0,2.0,1.4,marambaia,-23.05027777,-43.59555555,2019-01-28 05:00:00
0.0,-3.5,24.9,24.3,20.0,2.1,1.1,marambaia,-23.05027777,-43.59555555,2019-01-28 06:00:00
0.0,-3.5,25.0,23.8,34.0,3.8,2.7,marambaia,-23.05027777,-43.59555555,2019-01-28 07:00:00
0.0,-3.5,24.2,23.8,18.0,4.0,2.5,marambaia,-23.05027777,-43.59555555,2019-01-28 08:00:00
0.0,27.3,24.3,23.7,27.0,4.0,2.4,marambaia,-23.05027777,-43.59555555,2019-01-28 09:00:00
0.0,562.7,27.1,24.3,12.0,4.3,2.9,marambaia,-23.05027777,-43.59555555,2019-01-28 10:00:00
0.0,1416.8,30.1,27.1,6.0,5.9,3.5,marambaia,-23.05027777,-43.59555555,2019-01-28 11:00:00
0.0,2217.7,32.4,30.0,341.0,5.7,2.5,marambaia,-23.05027777,-43.59555555,2019-01-28 12:00:00
0.0,2887.0,34.8,32.4,340.0,8.8,,marambaia,-23.05027777,-43.59555555,2019-01-28 13:00:00
0.0,3392.6,35.5,30.1,159.0,,5.5,marambaia,-23.05027777,-43.59555555,2019-01-28 14:00:00
0.0,3682.5,32.2,29.9,144.0,7.0,4.4,marambaia,-23.05027777,-43.59555555,2019-01-28 15:00:00
0.0,3708.0,33.9,31.2,118.0,6.7,5.0,marambaia,-23.05027777,-43.59555555,2019-01-28 16:00:00
0.0,3468.1,34.0,31.5,123.0,8.8,6.3,marambaia,-23.05027777,-43.59555555,2019-01-28 17:00:00
0.0,2998.0,33.8,31.9,102.0,9.5,5.8,marambaia,-23.05027777,-43.59555555,2019-01-28 18:00:00
0.0,2387.4,33.4,32.5,98.0,10.3,5.9,marambaia,-23.05027777,-43.59555555,2019-01-28 19:00:00
0.0,1565.0,33.1,31.4,99.0,10.7,5.5,marambaia,-23.05027777,-43.59555555,2019-01-28 20:00:00
0.0,724.2,31.5,29.9,94.0,9.7,3.9,marambaia,-23.05027777,-43.59555555,2019-01-28 21:00:00
0.0,103.5,29.9,28.0,61.0,7.7,2.8,marambaia,-23.05027777,-43.59555555,2019-01-28 22:00:00
0.0,-3.5,28.6,27.7,59.0,6.3,1.9,marambaia,-23.05027777,-43.59555555,2019-01-28 23:00:00
0.0,-3.5,28.3,26.6,55.0,4.8,1.1,marambaia,-23.05027777,-43.59555555,2019-01-29 00:00:00
0.0,-3.5,27.3,26.1,27.0,4.3,3.0,marambaia,-23.05027777,-43.59555555,2019-01-29 01:00:00
0.0,-3.5,26.9,26.4,13.0,4.2,2.7,marambaia,-23.05027777,-43.59555555,2019-01-29 02:00:00
0.0,-3.5,26.4,25.8,26.0,3.9,2.5,marambaia,-23.05027777,-43.59555555,2019-01-29 03:00:00
0.0,-3.5,25.8,25.3,18.0,4.1,2.9,marambaia,-23.05027777,-43.59555555,2019-01-29 04:00:00
0.0,-3.5,25.6,25.3,7.0,4.2,2.7,marambaia,-23.05027777,-43.59555555,2019-01-29 05:00:00
0.0,-3.5,25.8,25.4,25.0,3.8,1.9,marambaia,-23.05027777,-43.59555555,2019-01-29 06:00:00
0.0,-3.5,26.4,25.3,35.0,3.1,2.4,marambaia,-23.05027777,-43.59555555,2019-01-29 07:00:00
0.0,-3.5,26.7,26.3,50.0,3.8,1.9,marambaia,-23.05027777,-43.59555555,2019-01-29 08:00:00
0.0,25.9,26.6,25.3,39.0,4.9,3.1,marambaia,-23.05027777,-43.59555555,2019-01-29 09:00:00
0.0,540.3,28.7,26.4,15.0,5.2,3.8,marambaia,-23.05027777,-43.59555555,2019-01-29 10:00:00
0.0,1378.7,31.3,28.7,1.0,7.4,3.8,marambaia,-23.05027777,-43.59555555,2019-01-29 11:00:00
0.0,2199.8,33.2,31.0,14.0,8.3,4.4,marambaia,-23.05027777,-43.59555555,2019-01-29 12:00:00
0.0,2881.9,35.1,32.9,342.0,8.3,2.6,marambaia,-23.05027777,-43.59555555,2019-01-29 13:00:00
0.0,3386.7,36.0,31.5,157.0,5.9,4.1,marambaia,-23.05027777,-43.59555555,2019-01-29 14:00:00
0.0,3651.2,34.1,31.3,143.0,6.0,4.0,marambaia,-23.05027777,-43.59555555,2019-01-29 15:00:00
0.0,3662.0,35.9,33.3,109.0,7.6,4.7,marambaia,-23.05027777,-43.59555555,2019-01-29 16:00:00
0.0,3445.1,35.6,33.8,118.0,7.6,4.7,marambaia,-23.05027777,-43.59555555,2019-01-29 17:00:00
0.0,3018.5,35.1,33.2,92.0,8.8,4.6,marambaia,-23.05027777,-43.59555555,2019-01-29 18:00:00
0.0,2394.0,35.3,33.2,101.0,8.7,4.9,marambaia,-23.05027777,-43.59555555,2019-01-29 19:00:00
0.0,1607.8,34.4,31.6,111.0,8.6,3.4,marambaia,-23.05027777,-43.59555555,2019-01-29 20:00:00
0.0,757.7,32.8,30.9,116.0,7.6,4.1,marambaia,-23.05027777,-43.59555555,2019-01-29 21:00:00
0.0,101.3,31.2,29.8,121.0,7.0,1.1,marambaia,-23.05027777,-43.59555555,2019-01-29 22:00:00
0.0,-3.5,30.2,29.1,51.0,3.9,1.4,marambaia,-23.05027777,-43.59555555,2019-01-29 23:00:00
0.0,-3.5,29.6,28.7,104.0,4.5,3.0,marambaia,-23.05027777,-43.59555555,2019-01-30 00:00:00
0.0,-3.5,28.9,27.4,220.0,4.5,1.1,marambaia,-23.05027777,-43.59555555,2019-01-30 01:00:00
0.0,-3.5,28.3,25.8,347.0,3.4,2.3,marambaia,-23.05027777,-43.59555555,2019-01-30 02:00:00
0.0,-3.5,26.2,25.4,11.0,3.4,2.3,marambaia,-23.05027777,-43.59555555,2019-01-30 03:00:00
0.0,-3.5,25.6,25.2,35.0,3.1,1.6,marambaia,-23.05027777,-43.59555555,2019-01-30 04:00:00
0.0,-3.5,25.4,24.9,19.0,3.7,2.1,marambaia,-23.05027777,-43.59555555,2019-01-30 05:00:00
0.0,-3.5,24.9,24.7,10.0,4.5,2.9,marambaia,-23.05027777,-43.59555555,2019-01-30 06:00:00
0.0,-3.5,24.9,24.4,14.0,4.3,2.5,marambaia,-23.05027777,-43.59555555,2019-01-30 07:00:00
0.0,-3.5,25.5,24.7,33.0,4.3,3.0,marambaia,-23.05027777,-43.59555555,2019-01-30 08:00:00
0.0,24.2,26.2,25.4,27.0,5.5,3.6,marambaia,-23.05027777,-43.59555555,2019-01-30 09:00:00
0.0,556.3,28.5,26.2,20.0,6.9,4.7,marambaia,-23.05027777,-43.59555555,2019-01-30 10:00:00
0.0,1411.7,31.2,28.5,9.0,8.3,4.7,marambaia,-23.05027777,-43.59555555,2019-01-30 11:00:00
0.0,2226.2,33.4,31.2,18.0,9.1,4.5,marambaia,-23.05027777,-43.59555555,2019-01-30 12:00:00
0.0,2913.8,36.2,33.4,3.0,8.9,5.8,marambaia,-23.05027777,-43.59555555,2019-01-30 13:00:00
0.0,3406.5,37.5,34.4,262.0,8.9,2.9,marambaia,-23.05027777,-43.59555555,2019-01-30 14:00:00
0.0,3688.9,34.4,30.8,153.0,9.3,7.2,marambaia,-23.05027777,-43.59555555,2019-01-30 15:00:00
0.0,3719.1,33.2,30.0,145.0,10.2,4.7,marambaia,-23.05027777,-43.59555555,2019-01-30 16:00:00
0.0,3506.6,34.4,31.3,145.0,8.9,6.4,marambaia,-23.05027777,-43.59555555,2019-01-30 17:00:00
0.0,3065.3,32.8,30.6,145.0,9.2,7.0,marambaia,-23.05027777,-43.59555555,2019-01-30 18:00:00
0.0,2413.2,32.2,30.9,149.0,9.1,7.0,marambaia,-23.05027777,-43.59555555,2019-01-30 19:00:00
0.0,1587.0,31.2,29.8,151.0,8.8,5.0,marambaia,-23.05027777,-43.59555555,2019-01-30 20:00:00
0.0,752.9,31.6,28.4,153.0,6.9,5.3,marambaia,-23.05027777,-43.59555555,2019-01-30 21:00:00
0.0,106.0,28.7,28.1,138.0,6.1,1.1,marambaia,-23.05027777,-43.59555555,2019-01-30 22:00:00
0.0,-3.5,28.9,27.6,172.0,3.9,3.4,marambaia,-23.05027777,-43.59555555,2019-01-30 23:00:00
0.0,-3.5,27.7,27.0,183.0,4.1,2.3,marambaia,-23.05027777,-43.59555555,2019-01-31 00:00:00
0.0,-3.5,27.2,27.0,178.0,3.5,2.5,marambaia,-23.05027777,-43.59555555,2019-01-31 01:00:00
0.0,-3.5,27.1,24.7,345.0,2.9,1.7,marambaia,-23.05027777,-43.59555555,2019-01-31 02:00:00
0.0,-3.5,25.6,24.4,64.0,2.1,0.9,marambaia,-23.05027777,-43.59555555,2019-01-31 03:00:00
0.0,-3.5,24.5,23.3,26.0,2.8,1.9,marambaia,-23.05027777,-43.59555555,2019-01-31 04:00:00
0.0,-3.5,23.3,22.6,19.0,3.3,2.4,marambaia,-23.05027777,-43.59555555,2019-01-31 05:00:00
0.0,-3.5,23.9,22.6,15.0,3.5,2.3,marambaia,-23.05027777,-43.59555555,2019-01-31 06:00:00
0.0,-3.5,23.3,22.8,31.0,3.7,2.6,marambaia,-23.05027777,-43.59555555,2019-01-31 07:00:00
0.0,-3.5,24.1,22.9,7.0,3.9,1.7,marambaia,-23.05027777,-43.59555555,2019-01-31 08:00:00
0.0,22.1,23.3,22.7,48.0,3.5,2.4,marambaia,-23.05027777,-43.59555555,2019-01-31 09:00:00
0.0,537.7,27.9,23.3,,3.4,,marambaia,-23.05027777,-43.59555555,2019-01-31 10:00:00
0.0,1363.5,31.0,27.6,20.0,,2.0,marambaia,-23.05027777,-43.59555555,2019-01-31 11:00:00
0.0,2162.9,33.3,30.9,349.0,6.9,3.2,marambaia,-23.05027777,-43.59555555,2019-01-31 12:00:00
0.0,2868.6,34.6,30.1,161.0,7.8,5.0,marambaia,-23.05027777,-43.59555555,2019-01-31 13:00:00
0.0,3375.3,31.8,30.0,159.0,6.7,4.4,marambaia,-23.05027777,-43.59555555,2019-01-31 14:00:00
0.0,3636.2,32.0,29.1,152.0,8.7,6.9,marambaia,-23.05027777,-43.59555555,2019-01-31 15:00:00
0.0,3673.3,30.1,29.2,157.0,8.2,6.1,marambaia,-23.05027777,-43.59555555,2019-01-31 16:00:00
0.0,3451.3,30.7,29.2,161.0,7.5,4.8,marambaia,-23.05027777,-43.59555555,2019-01-31 17:00:00
0.0,3002.0,30.4,29.3,166.0,6.5,4.7,marambaia,-23.05027777,-43.59555555,2019-01-31 18:00:00
0.0,2406.9,30.0,29.2,158.0,5.9,5.1,marambaia,-23.05027777,-43.59555555,2019-01-31 19:00:00
0.0,1613.3,29.6,28.6,156.0,7.4,5.7,marambaia,-23.05027777,-43.59555555,2019-01-31 20:00:00
0.0,738.8,28.7,28.3,153.0,6.6,4.1,marambaia,-23.05027777,-43.59555555,2019-01-31 21:00:00
0.0,96.5,28.7,27.0,80.0,5.3,1.6,marambaia,-23.05027777,-43.59555555,2019-01-31 22:00:00
0.0,-3.5,27.8,26.3,60.0,4.4,1.8,marambaia,-23.05027777,-43.59555555,2019-01-31 23:00:00
0.0,-3.5,26.7,24.9,24.0,2.6,1.4,marambaia,-23.05027777,-43.59555555,2019-02-01 00:00:00
0.0,-3.5,26.8,24.3,351.0,2.8,2.0,marambaia,-23.05027777,-43.59555555,2019-02-01 01:00:00
0.0,-3.5,25.2,24.2,50.0,2.8,1.9,marambaia,-23.05027777,-43.59555555,2019-02-01 02:00:00
0.0,-3.5,25.2,24.2,29.0,3.1,2.2,marambaia,-23.05027777,-43.59555555,2019-02-01 03:00:00
0.0,-3.5,24.6,23.9,35.0,3.8,2.2,marambaia,-23.05027777,-43.59555555,2019-02-01 04:00:00
0.0,-3.5,24.6,23.7,21.0,3.7,2.7,marambaia,-23.05027777,-43.59555555,2019-02-01 05:00:00
0.0,-3.5,24.5,23.7,21.0,3.7,2.2,marambaia,-23.05027777,-43.59555555,2019-02-01 06:00:00
0.0,-3.5,24.5,23.2,86.0,3.4,1.1,marambaia,-23.05027777,-43.59555555,2019-02-01 07:00:00
0.0,-3.5,25.6,23.9,66.0,1.8,0.9,marambaia,-23.05027777,-43.59555555,2019-02-01 08:00:00
0.0,19.2,24.0,23.2,40.0,2.8,1.0,marambaia,-23.05027777,-43.59555555,2019-02-01 09:00:00
0.0,406.2,26.7,23.5,13.0,3.9,2.8,marambaia,-23.05027777,-43.59555555,2019-02-01 10:00:00
0.0,1299.5,28.6,26.7,147.0,3.9,1.3,marambaia,-23.05027777,-43.59555555,2019-02-01 11:00:00
0.0,2086.9,31.5,28.5,191.0,,1.1,marambaia,-23.05027777,-43.59555555,2019-02-01 12:00:00
0.0,2813.6,31.0,29.5,155.0,6.4,3.6,marambaia,-23.05027777,-43.59555555,2019-02-01 13:00:00
0.0,3324.7,31.3,29.4,147.0,9.0,7.5,marambaia,-23.05027777,-43.59555555,2019-02-01 14:00:00
0.0,3593.6,32.4,29.5,137.0,9.0,5.1,marambaia,-23.05027777,-43.59555555,2019-02-01 15:00:00
0.0,3586.4,33.9,32.0,126.0,7.9,6.0,marambaia,-23.05027777,-43.59555555,2019-02-01 16:00:00
0.0,3353.5,35.1,31.9,88.0,8.8,3.9,marambaia,-23.05027777,-43.59555555,2019-02-01 17:00:00
0.0,2887.1,35.4,31.9,127.0,7.0,4.4,marambaia,-23.05027777,-43.59555555,2019-02-01 18:00:00
0.0,2190.9,33.0,31.6,110.0,8.6,5.9,marambaia,-23.05027777,-43.59555555,2019-02-01 19:00:00
0.0,1465.0,31.7,30.5,103.0,9.0,5.2,marambaia,-23.05027777,-43.59555555,2019-02-01 20:00:00
0.0,687.8,31.3,30.6,83.0,8.7,1.2,marambaia,-23.05027777,-43.59555555,2019-02-01 21:00:00
0.0,88.1,30.6,30.1,77.0,5.5,3.1,marambaia,-23.05027777,-43.59555555,2019-02-01 22:00:00
0.0,-3.5,30.6,27.6,204.0,7.8,5.2,marambaia,-23.05027777,-43.59555555,2019-02-01 23:00:00
0.0,-3.5,27.7,27.0,200.0,6.4,4.7,marambaia,-23.05027777,-43.59555555,2019-02-02 00:00:00
0.0,-3.5,27.0,26.3,175.0,5.8,2.9,marambaia,-23.05027777,-43.59555555,2019-02-02 01:00:00
0.0,-3.5,26.4,25.8,168.0,4.9,2.5,marambaia,-23.05027777,-43.59555555,2019-02-02 02:00:00
0.0,-3.5,25.9,24.2,32.0,3.3,1.3,marambaia,-23.05027777,-43.59555555,2019-02-02 03:00:00
0.0,-3.5,24.5,24.0,26.0,3.0,1.6,marambaia,-23.05027777,-43.59555555,2019-02-02 04:00:00
0.0,-3.5,24.1,23.7,9.0,2.2,1.8,marambaia,-23.05027777,-43.59555555,2019-02-02 05:00:00
0.0,-3.5,23.9,23.3,9.0,2.7,2.0,marambaia,-23.05027777,-43.59555555,2019-02-02 06:00:00
0.0,-3.5,23.7,23.3,20.0,3.6,2.2,marambaia,-23.05027777,-43.59555555,2019-02-02 07:00:00
0.0,-3.5,24.0,23.3,3.0,3.4,1.5,marambaia,-23.05027777,-43.59555555,2019-02-02 08:00:00
0.0,21.6,23.5,23.2,6.0,2.4,1.8,marambaia,-23.05027777,-43.59555555,2019-02-02 09:00:00
0.0,492.1,27.7,23.5,51.0,2.0,0.7,marambaia,-23.05027777,-43.59555555,2019-02-02 10:00:00
0.0,1328.8,30.6,27.7,24.0,5.2,2.3,marambaia,-23.05027777,-43.59555555,2019-02-02 11:00:00
0.0,2130.3,32.9,30.5,193.0,3.9,1.3,marambaia,-23.05027777,-43.59555555,2019-02-02 12:00:00
0.0,2816.7,31.2,30.2,165.0,7.1,5.2,marambaia,-23.05027777,-43.59555555,2019-02-02 13:00:00
0.0,3332.0,30.7,29.5,158.0,7.7,5.9,marambaia,-23.05027777,-43.59555555,2019-02-02 14:00:00
0.0,3603.8,30.2,29.4,163.0,7.4,6.2,marambaia,-23.05027777,-43.59555555,2019-02-02 15:00:00
0.0,3649.9,30.5,29.3,146.0,8.1,6.3,marambaia,-23.05027777,-43.59555555,2019-02-02 16:00:00
0.0,3429.7,31.9,30.3,160.0,7.7,4.6,marambaia,-23.05027777,-43.59555555,2019-02-02 17:00:00
0.0,2979.8,32.2,30.8,168.0,8.8,5.3,marambaia,-23.05027777,-43.59555555,2019-02-02 18:00:00
0.0,2345.0,31.0,29.0,151.0,12.4,7.0,marambaia,-23.05027777,-43.59555555,2019-02-02 19:00:00
0.0,1542.7,29.5,28.9,150.0,8.6,5.6,marambaia,-23.05027777,-43.59555555,2019-02-02 20:00:00
0.0,689.3,29.1,28.5,154.0,6.6,4.7,marambaia,-23.05027777,-43.59555555,2019-02-02 21:00:00
0.0,77.1,28.6,28.3,141.0,5.9,3.9,marambaia,-23.05027777,-43.59555555,2019-02-02 22:00:00
0.0,-3.5,28.8,28.3,165.0,4.7,2.8,marambaia,-23.05027777,-43.59555555,2019-02-02 23:00:00
0.0,-3.5,29.2,28.0,175.0,3.5,1.3,marambaia,-23.05027777,-43.59555555,2019-02-03 00:00:00
0.0,-3.5,29.2,28.0,254.0,5.0,2.3,marambaia,-23.05027777,-43.59555555,2019-02-03 01:00:00
0.0,-3.5,28.4,25.8,28.0,3.6,1.5,marambaia,-23.05027777,-43.59555555,2019-02-03 02:00:00
0.0,-3.5,26.1,25.2,26.0,3.7,2.1,marambaia,-23.05027777,-43.59555555,2019-02-03 03:00:00
0.0,-3.1,26.2,25.3,24.0,3.1,1.8,marambaia,-23.05027777,-43.59555555,2019-02-03 04:00:00
0.0,-3.5,25.8,25.2,19.0,4.3,2.3,marambaia,-23.05027777,-43.59555555,2019-02-03 05:00:00
0.0,-3.4,25.9,25.2,359.0,3.7,1.6,marambaia,-23.05027777,-43.59555555,2019-02-03 06:00:00
0.0,-3.5,29.4,25.4,211.0,9.1,5.1,marambaia,-23.05027777,-43.59555555,2019-02-03 07:00:00
0.0,-3.3,29.4,28.4,228.0,9.6,7.9,marambaia,-23.05027777,-43.59555555,2019-02-03 08:00:00
0.0,22.8,29.1,27.5,174.0,9.6,4.8,marambaia,-23.05027777,-43.59555555,2019-02-03 09:00:00
0.0,243.1,27.6,27.1,192.0,6.4,5.2,marambaia,-23.05027777,-43.59555555,2019-02-03 10:00:00
