order,min_dist_m,mean_dist_m,pct_within_250m,n_gps_points
C51592,0.24484522014778726,129.7656874186066,0.8605150214592274,466
C51589,0.24484522014778726,121.89098423888242,0.8815426997245179,363
C51598,0.8954372592977069,137.5435173048111,0.8679245283018868,477
C51637,1.2491180498242693,136.63712012235493,0.8401559454191033,513
C51654,1.4491585881537277,123.0982452212087,0.8839458413926499,517
C51612,1.5119228556909967,127.63522113544747,0.864406779661017,472
C51605,1.8974739029836716,132.1336882849434,0.8702460850111857,447
C51610,2.1133176906614954,122.77089065509469,0.8913857677902621,534
C51581,2.1260625318787283,133.63241492553385,0.8555798687089715,457
C51590,2.3479770328796805,129.58891473649658,0.869757174392936,453
C51555,2.347977033164004,128.51495383934775,0.8693790149892934,467
C51649,2.421701053986194,133.63328141375285,0.8568507157464212,489
C51603,2.448431906850392,133.25310744816827,0.8607888631090487,431
C51575,2.549202152275005,145.92155271354574,0.8369304556354916,417
C51607,2.549202152275005,127.42764919327367,0.8808080808080808,495
C51583,2.737729954142379,127.51890792274195,0.8688172043010752,465
C51617,3.0941616676591233,135.18151271178286,0.8588235294117647,510
C51542,3.113457945626452,134.02011826839188,0.8472222222222222,432
C51615,3.1183062793021556,127.61144139065392,0.8773333333333333,375
C51582,3.1260062198153147,132.1585777189655,0.859504132231405,484
C51561,3.1260062198153147,119.43017935894746,0.8824742268041237,485
C51564,3.1260062198153147,124.41991694852476,0.8886554621848739,476
C51567,3.1260062198153147,128.1271473601,0.8634361233480177,454
C51635,3.1260062198153147,117.52960853785092,0.8952569169960475,506
C51633,3.1260062198153147,119.70096487898279,0.8716475095785441,522
C51558,3.1260062198153147,127.0168585212472,0.8624641833810889,349
C51574,3.1260062198153147,112.33045267545248,0.8983451536643026,423
C51608,3.190783648951765,133.32734459698668,0.85995085995086,407
C51597,3.190783648951765,125.625492439283,0.8672566371681416,452
C51631,3.199071467070375,131.75784508681704,0.8514412416851441,451
C51560,3.5597116635024597,116.58065212492762,0.8767676767676768,495
C51623,3.5597116635024597,114.01409811687017,0.9166666666666666,276
C51618,3.876402739340188,120.49552021911256,0.8828451882845189,478
C51579,3.904578774741515,115.51176084744573,0.9015444015444015,518
C51543,3.9277305256648285,123.15793237824667,0.8671875,256
C51632,3.962668658458915,130.90904186686976,0.8647959183673469,392
C51516,4.0556926575653724,130.75541799074477,0.8485639686684073,383
C51556,4.162333573358009,135.11302504533535,0.8527397260273972,292
C51622,4.223257411360868,121.70156041867934,0.8775933609958506,482
C51636,4.252139982711929,127.7617733761605,0.8805668016194332,494
C51538,4.452513708167743,137.67185081988143,0.8430379746835444,395
C51557,4.560142398217252,123.67822258511342,0.8711111111111111,450
C51580,4.671310072318206,127.840438756161,0.8603351955307262,179
C51599,4.694173738195087,108.14185031781791,0.9090909090909091,319
C51641,5.024001737643218,126.7527374121646,0.8668171557562077,443
C51616,5.497821350234488,129.23277798529296,0.8626609442060086,466
C51559,5.8942214115692835,116.0820080993085,0.8934010152284264,394
C51512,5.961458333539758,132.63083795054447,0.8705501618122977,309
C51506,5.964828579170898,131.62271280311984,0.8517520215633423,371
