trip_id,stop_id,arrival_previsto,arrival_real,atraso_min,stop_lat,stop_lon,lat_real,lon_real
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3064O00002C0,2019-01-25 09:11:36,2019-01-25 09:25:02,13.433333333333334,-22.88744,-43.2864,-22.887220000000003,-43.286572
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3065O00001C0,2019-01-25 09:12:10,2019-01-25 09:22:37,10.45,-22.887738,-43.283511,-22.88763,-43.283371
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3065O00003C0,2019-01-25 09:12:54,2019-01-25 09:16:01,3.1166666666666667,-22.887155,-43.280679,-22.88693,-43.28035
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3065O00004C0,2019-01-25 09:13:24,2019-01-25 09:21:57,8.55,-22.88591,-43.27898,-22.88578,-43.27911
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3065O00005C0,2019-01-25 09:13:57,2019-01-25 09:23:59,10.033333333333333,-22.88441,-43.27719,-22.884211,-43.277321
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3053O00006C0,2019-01-25 09:14:38,2019-01-25 09:20:47,6.15,-22.8822,-43.2754,-22.882071,-43.275341
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3053O00007C0,2019-01-25 09:15:20,2019-01-25 09:12:02,-3.3,-22.881083,-43.272751,-22.881029,-43.272812
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3053O00008C0,2019-01-25 09:17:00,2019-01-25 09:21:01,4.016666666666667,-22.878863,-43.265859,-22.878799,-43.265831
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3052O00001C0,2019-01-25 09:17:30,2019-01-25 09:16:57,-0.55,-22.87833,-43.26397,-22.878201,-43.263908
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3052O00002C1,2019-01-25 09:18:00,2019-01-25 09:15:02,-2.966666666666667,-22.878337,-43.261822,-22.878309,-43.26194
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3052O00003C0,2019-01-25 09:18:51,2019-01-25 09:24:49,5.966666666666667,-22.880394,-43.259223,-22.88028,-43.259079
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3155O00001C0,2019-01-25 09:19:59,2019-01-25 09:20:44,0.75,-22.882581,-43.254845,-22.882481,-43.254799
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3155O00002C0,2019-01-25 09:20:48,2019-01-25 09:31:37,10.816666666666666,-22.88517,-43.25266,-22.885201,-43.252579
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3155O00003C0,2019-01-25 09:21:24,2019-01-25 09:20:02,-1.3666666666666667,-22.886927,-43.250822,-22.886841,-43.25087
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1012O00011C0,2019-01-25 09:23:18,2019-01-25 09:33:37,10.316666666666666,-22.890046,-43.244457,-22.88999,-43.243771
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1012O00012C0,2019-01-25 09:23:46,2019-01-25 09:27:31,3.75,-22.890765,-43.242335,-22.89073,-43.242161
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1012O00013C0,2019-01-25 09:24:10,2019-01-25 09:23:02,-1.1333333333333333,-22.891768,-43.240794,-22.891701,-43.240742
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1012O00027C0,2019-01-25 09:25:21,2019-01-25 09:26:10,0.8166666666666667,-22.89495,-43.24279,-22.894291,-43.238941
01a295ba-67a9-4490-9e6b-25e8d637fb1c,vphs,2019-01-25 09:26:28,2019-01-25 09:12:31,-13.95,-22.897995,-43.241305,-22.899309,-43.24073
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1011O00001C0,2019-01-25 09:27:25,2019-01-25 09:12:38,-14.783333333333333,-22.90138,-43.241176,-22.90139,-43.241001
01a295ba-67a9-4490-9e6b-25e8d637fb1c,3057O00006C0,2019-01-25 09:28:34,2019-01-25 09:19:10,-9.4,-22.90591,-43.23964,-22.905729,-43.239540000000005
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1011O00002C0,2019-01-25 09:29:21,2019-01-25 09:35:48,6.45,-22.907884,-43.236917,-22.90764,-43.237259
01a295ba-67a9-4490-9e6b-25e8d637fb1c,2035O00042C0,2019-01-25 09:29:51,2019-01-25 09:37:28,7.616666666666666,-22.908756,-43.234655,-22.90885,-43.23362
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1010O00038C0,2019-01-25 09:30:46,2019-01-25 09:16:10,-14.6,-22.908374,-43.231002,-22.908251,-43.230999
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1010O00077C0,2019-01-25 09:32:02,2019-01-25 09:44:07,12.083333333333334,-22.90931,-43.22631,-22.909269,-43.22628
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1010O00103C0,2019-01-25 09:32:49,2019-01-25 09:37:39,4.833333333333333,-22.909238,-43.222916,-22.909309,-43.223381
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1010O00040C0,2019-01-25 09:33:43,2019-01-25 09:46:07,12.4,-22.906357,-43.220639,-22.905809,-43.220490000000005
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1010O00107C0,2019-01-25 09:34:26,2019-01-25 09:47:07,12.683333333333334,-22.904907,-43.218901,-22.904751,-43.219009
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1010O00079C0,2019-01-25 09:35:09,2019-01-25 09:41:01,5.866666666666666,-22.90411,-43.21611,-22.903879,-43.21582
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1010O00080C0,2019-01-25 09:35:33,2019-01-25 09:42:01,6.466666666666667,-22.90341,-43.21449,-22.90353,-43.214951
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1010O00081C0,2019-01-25 09:36:25,2019-01-25 09:31:16,-5.15,-22.902025,-43.210979,-22.90185,-43.21056
01a295ba-67a9-4490-9e6b-25e8d637fb1c,2032O00028C0,2019-01-25 09:38:05,2019-01-25 09:27:01,-11.066666666666666,-22.908498,-43.209965,-22.908569,-43.20993
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1008O00022S0,2019-01-25 09:39:34,2019-01-25 09:37:49,-1.75,-22.91013,-43.205583,-22.90975,-43.20639
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1008O00005S0,2019-01-25 09:40:40,2019-01-25 09:48:31,7.85,-22.908619,-43.201048,-22.908689000000003,-43.201599
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1005O00060C0,2019-01-25 09:42:30,2019-01-25 09:51:47,9.283333333333333,-22.90623,-43.193405,-22.90613,-43.193432
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1005O00359S0,2019-01-25 09:43:22,2019-01-25 09:31:09,-12.216666666666667,-22.905052,-43.189782,-22.904739000000003,-43.18911
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1005O00375S2,2019-01-25 09:44:39,2019-01-25 09:55:01,10.366666666666667,-22.903332,-43.184461,-22.90456,-43.18848
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1005O00197C0,2019-01-25 09:45:29,2019-01-25 09:44:04,-1.4166666666666667,-22.905593,-43.182786,-22.908319,-43.186409000000005
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1005O00020S0,2019-01-25 09:46:03,2019-01-25 09:44:04,-1.9833333333333334,-22.90723,-43.18272,-22.908319,-43.186409000000005
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1005O00232S0,2019-01-25 09:47:21,2019-01-25 10:01:02,13.683333333333334,-22.90879,-43.18819,-22.90896,-43.188671
01a295ba-67a9-4490-9e6b-25e8d637fb1c,1005O00234C0,2019-01-25 09:47:41,2019-01-25 10:02:02,14.35,-22.908392,-43.189263,-22.908409,-43.189308
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00046C0,2019-01-25 08:50:39,2019-01-25 08:57:45,7.1,-22.901318,-43.347259,-22.901381,-43.347221000000005
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00031C0,2019-01-25 08:50:51,2019-01-25 08:57:53,7.033333333333333,-22.90189,-43.34779,-22.901831,-43.34761
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00058C0,2019-01-25 08:51:31,2019-01-25 08:58:53,7.366666666666666,-22.900466,-43.349828,-22.900761,-43.349529
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00033C0,2019-01-25 08:52:06,2019-01-25 09:06:40,14.566666666666666,-22.89911,-43.35167,-22.898029,-43.35025
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00004C0,2019-01-25 08:52:34,2019-01-25 09:03:04,10.5,-22.898012,-43.352228,-22.89712,-43.351429
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00006C0,2019-01-25 08:53:19,2019-01-25 09:08:12,14.883333333333333,-22.89818,-43.350146,-22.898211,-43.350029
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00008C0,2019-01-25 08:53:56,2019-01-25 09:02:54,8.966666666666667,-22.896967,-43.348397,-22.896971,-43.348438
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00016C0,2019-01-25 08:54:25,2019-01-25 09:02:54,8.483333333333333,-22.8954,-43.34742,-22.896971,-43.348438
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00017C0,2019-01-25 08:54:54,2019-01-25 09:06:30,11.6,-22.89369,-43.34688,-22.89295,-43.348808
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,4124O00050C0,2019-01-25 08:55:55,2019-01-25 09:04:00,8.083333333333334,-22.890381,-43.34553,-22.887489,-43.345249
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3078O00007C0,2019-01-25 08:56:31,2019-01-25 09:04:00,7.483333333333333,-22.88842,-43.34439,-22.887489,-43.345249
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3078O00008C0,2019-01-25 08:56:56,2019-01-25 09:05:45,8.816666666666666,-22.88717,-43.34339,-22.8859,-43.343811
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3078O00009C0,2019-01-25 08:57:26,2019-01-25 09:03:00,5.566666666666666,-22.88579,-43.34209,-22.88484,-43.34306
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3082O00002C0,2019-01-25 08:58:45,2019-01-25 09:12:10,13.416666666666666,-22.88283,-43.34025,-22.88282,-43.34024
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3082O00018C0,2019-01-25 08:59:36,2019-01-25 09:09:45,10.15,-22.882534,-43.33687,-22.882759,-43.340099
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3082O00051C0,2019-01-25 09:00:19,2019-01-25 08:59:45,-0.5666666666666667,-22.882382,-43.333901,-22.880039,-43.332359
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3082O00019C0,2019-01-25 09:01:08,2019-01-25 09:15:01,13.883333333333333,-22.882138,-43.331007,-22.88129,-43.330299
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3082O00004C1,2019-01-25 09:02:52,2019-01-25 09:04:08,1.2666666666666666,-22.88256,-43.32373,-22.88245,-43.323559
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3082O00005C2,2019-01-25 09:03:12,2019-01-25 09:05:01,1.8166666666666667,-22.88284,-43.3224,-22.8827,-43.322441
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3079O00001C2,2019-01-25 09:03:41,2019-01-25 09:06:47,3.1,-22.8835,-43.32058,-22.883369,-43.32061
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3079O00002C2,2019-01-25 09:04:29,2019-01-25 09:09:48,5.316666666666666,-22.88445,-43.31751,-22.88438,-43.31749
01f7cd8d-33b8-49f2-ba55-c72cabfd4923,3079O00041C2,2019-01-25 09:04:50,2019-01-25 09:00:01,-4.816666666666666,-22.884744,-43.316116,-22.884609,-43.316292
