order,trip_id,stop_sequence,stop_id,stop_lat,stop_lon,arrival_previsto,arrival_real,atraso_min,matched_distance_m
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,39,3053O00006C0,-22.8822,-43.2754,2019-01-25 09:24:19,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,40,3053O00007C0,-22.881083,-43.272751,2019-01-25 09:25:03,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,41,3053O00008C0,-22.878863,-43.265859,2019-01-25 09:26:49,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,42,3052O00001C0,-22.87833,-43.26397,2019-01-25 09:27:21,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,43,3052O00002C1,-22.878337,-43.261822,2019-01-25 09:27:52,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,44,3052O00003C0,-22.880394,-43.259223,2019-01-25 09:28:47,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,45,3155O00001C0,-22.882581,-43.254845,2019-01-25 09:29:59,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,46,3155O00002C0,-22.88517,-43.25266,2019-01-25 09:30:50,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,47,3155O00003C0,-22.886927,-43.250822,2019-01-25 09:31:28,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,48,1012O00011C0,-22.890046,-43.244457,2019-01-25 09:33:28,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,49,1012O00012C0,-22.890765,-43.242335,2019-01-25 09:33:59,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,50,1012O00013C0,-22.891768,-43.240794,2019-01-25 09:34:23,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,51,1012O00027C0,-22.89495,-43.24279,2019-01-25 09:35:39,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,52,vphs,-22.897995,-43.241305,2019-01-25 09:36:50,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,53,1011O00001C0,-22.90138,-43.241176,2019-01-25 09:37:50,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,54,3057O00006C0,-22.90591,-43.23964,2019-01-25 09:39:03,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,56,1011O00002C0,-22.907884,-43.236917,2019-01-25 09:39:53,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,57,2035O00042C0,-22.908756,-43.234655,2019-01-25 09:40:25,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,58,1010O00038C0,-22.908374,-43.231002,2019-01-25 09:41:22,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,59,1010O00077C0,-22.90931,-43.22631,2019-01-25 09:42:43,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,60,1010O00103C0,-22.909238,-43.222916,2019-01-25 09:43:33,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,61,1010O00040C0,-22.906357,-43.220639,2019-01-25 09:44:30,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,62,1010O00107C0,-22.904907,-43.218901,2019-01-25 09:45:16,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,63,1010O00079C0,-22.90411,-43.21611,2019-01-25 09:46:01,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,64,1010O00080C0,-22.90341,-43.21449,2019-01-25 09:46:27,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,65,1010O00081C0,-22.902025,-43.210979,2019-01-25 09:47:22,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,66,2032O00028C0,-22.908498,-43.209965,2019-01-25 09:49:08,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,67,1008O00022S0,-22.91013,-43.205583,2019-01-25 09:50:42,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,68,1008O00005S0,-22.908619,-43.201048,2019-01-25 09:51:51,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,69,1005O00060C0,-22.90623,-43.193405,2019-01-25 09:53:48,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,70,1005O00359S0,-22.905052,-43.189782,2019-01-25 09:54:43,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,71,1005O00375S2,-22.903332,-43.184461,2019-01-25 09:56:04,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,72,1005O00197C0,-22.905593,-43.182786,2019-01-25 09:56:57,,,
