order,trip_id,stop_index,stop_lat,stop_lon,gps_lat,gps_lon,gps_datetime,stop_time,dist_m,time_diff_s
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,28,-22.884601,-43.297845,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:17:25,6072.9630990001615,-1109.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,29,-22.88341,-43.29648,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:17:52,5978.040510250536,-1136.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,30,-22.88182,-43.29431,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:18:33,5825.335947521378,-1177.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,31,-22.8842,-43.29133,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:19:37,5449.452562199477,-1241.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,32,-22.885668,-43.290084,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:20:11,5277.550831707244,-1275.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,33,-22.88744,-43.2864,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:21:06,4859.075107566319,-1330.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,34,-22.887738,-43.283511,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:21:42,4566.219837030762,-1366.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,35,-22.887155,-43.280679,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:22:28,4310.720019172152,-1412.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,36,-22.88591,-43.27898,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:23:01,4195.8851562001655,-1445.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,37,-22.88441,-43.27719,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:23:36,4093.2597830182626,-1480.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,38,-22.8822,-43.2754,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:24:19,4041.1442170982195,-1523.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,39,-22.881083,-43.272751,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:25:03,3871.814635386119,-1567.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,40,-22.878863,-43.265859,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:26:49,3460.8132878798415,-1673.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,41,-22.87833,-43.26397,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:27:21,3362.4806730140626,-1705.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,42,-22.878337,-43.261822,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:27:52,3211.2122905198316,-1736.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,43,-22.880394,-43.259223,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:28:47,2863.588795742307,-1791.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,44,-22.882581,-43.254845,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:29:59,2392.904569113244,-1863.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,45,-22.88517,-43.25266,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:30:50,2028.3465694523477,-1914.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,46,-22.886927,-43.250822,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:31:28,1759.75226753849,-1952.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,47,-22.890046,-43.244457,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:33:28,1149.8085799403825,-2072.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,48,-22.890765,-43.242335,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:33:59,1021.6375093159297,-2103.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,49,-22.891768,-43.240794,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:34:23,899.88338470364,-2127.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,50,-22.89495,-43.24279,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:35:39,578.5604521992905,-2203.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,51,-22.897995,-43.241305,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:36:50,211.0758428698341,-2274.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,52,-22.90138,-43.241176,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:37:50,171.02266192246597,-2334.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,53,-22.90591,-43.23964,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:39:03,685.4058492193511,-2407.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,54,-22.907884,-43.236917,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:39:53,981.9732713075226,-2457.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,55,-22.908756,-43.234655,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:40:25,1179.161192905854,-2489.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,56,-22.908374,-43.231002,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:41:22,1388.7006404655515,-2546.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,57,-22.90931,-43.22631,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:42:43,1828.630150503704,-2627.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,58,-22.909238,-43.222916,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:43:33,2118.6119155545503,-2677.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,59,-22.906357,-43.220639,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:44:30,2199.489395351857,-2734.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,60,-22.904907,-43.218901,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:45:16,2324.263357362111,-2780.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,61,-22.90411,-43.21611,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:46:01,2584.9472667642776,-2825.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,62,-22.90341,-43.21449,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:46:27,2735.9512861384023,-2851.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,63,-22.902025,-43.210979,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:47:22,3076.405607662892,-2906.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,64,-22.908498,-43.209965,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:49:08,3313.048069815719,-3012.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,65,-22.91013,-43.205583,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:50:42,3795.450931734587,-3106.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,66,-22.908619,-43.201048,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:51:51,4198.63546736651,-3175.0
